"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","175","Проверка логина пользователя","tests","2026-02-25","passed","2026-02-25","TestLoginUser","test_login","",""
"","126","Проверка логина пользователя с неверным логином","tests","2026-02-25","passed","2026-02-25","TestLoginUser","test_login","",""
"","10868","Проверка выгрузки заказов","tests","2026-02-25","passed","2026-02-25","TestOrderUser","test_order","",""
"","230","Проверка заказа","tests","2026-02-25","passed","2026-02-25","TestOrderUser","test_order","",""
"","110","Проверка логина пользователя без логина","tests","2026-02-25","passed","2026-02-25","TestLoginUser","test_login","",""
"","195","Проверка заказа","tests","2026-02-25","passed","2026-02-25","TestOrderUser","test_order","",""
"","192","Проверка регистрации нового курьера без части данных (логина)","tests","2026-02-25","passed","2026-02-25","TestRegistrationUser","test_registration","",""
"","122","Проверка заказа","tests","2026-02-25","passed","2026-02-25","TestOrderUser","test_order","",""
"","124","Проверка заказа","tests","2026-02-25","passed","2026-02-25","TestOrderUser","test_order","",""
"","1","Проверка регистрации нового курьера","tests","2026-02-25","passed","2026-02-25","TestRegistrationUser","test_registration","",""
"","160","Проверка регистрации нового курьера с уже существующими данными (логином)","tests","2026-02-25","passed","2026-02-25","TestRegistrationUser","test_registration","",""
